Player,Team,Corner Kicks,Shots,Goals,Assists
Hughes,Away,2.0,4.0,0.0,0.0
Smithson,Away,1.0,1.0,0.0,0.0
Beall,Home,1.0,3.0,0.0,0.0
Gebhart,Away,0.0,1.0,0.0,0.0
Paynter,Away,0.0,2.0,0.0,0.0
Sirkin,Away,0.0,3.0,1.0,0.0
Agnew,Home,0.0,1.0,0.0,0.0
Blanchard,Home,0.0,2.0,0.0,0.0
Breskow,Home,0.0,1.0,0.0,0.0
Hall,Home,0.0,2.0,0.0,0.0
Hilsee,Home,0.0,1.0,0.0,0.0
Klar,Home,0.0,3.0,0.0,0.0
Kolski,Home,0.0,3.0,0.0,0.0
Robertson,Home,0.0,1.0,0.0,0.0
Williamson,Home,0.0,3.0,0.0,0.0
Gracie Fitzgerald,Away,0.0,0.0,0.0,1.0
